ソートキー,日付,YouTube形式,詳細区分,特徴タグ,コラボ,掲載ch,配信タイトル,URL,動画ID,曲順,歌唱ID,曲名,曲名よみ,アーティスト名,検索用アーティスト名,検索用アーティスト名よみ,関連元,開始時間,曲リンク,備考
20260525-2-006,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,6,D41ErKux1Ps-06,366日,,HY,,,,0:59:30,この曲を聴く,
20260525-2-007,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,7,D41ErKux1Ps-07,悪魔の子,あくまのこ,ヒグチアイ,,,,1:10:00,この曲を聴く,
20260525-2-008,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,8,D41ErKux1Ps-08,たばこ,,コレサワ,,,,1:22:05,この曲を聴く,
20260525-2-009,2026/05/25,Live Stream,歌枠,,,,【初！歌枠】歌うぞ！！！！！！！【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=D41ErKux1Ps,D41ErKux1Ps,9,D41ErKux1Ps-09,晩餐歌,ばんさんか,tuki.,,,,1:37:50,この曲を聴く,
20260527-1-000,2026/05/27,Shorts,新作ショート,,,,『トンツカタンタン』歌ってみた！【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/9lsFAU3NM0A,9lsFAU3NM0A,0,9lsFAU3NM0A-00,トンツカタンタン,,クレイジーウォウウォ!!,,,,0,この曲を聴く,
20260528-1-000,2026/05/28,Shorts,歌みた切り抜き,,,,ウタカタララバイcover【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/qigoyhhzESQ,qigoyhhzESQ,0,qigoyhhzESQ-00,ウタカタララバイ,,Ado,,,QItoWa5sdnc-00,0,この曲を聴く,
20260529-1-000,2026/05/29,Shorts,新作ショート,,,,月が綺麗ねと言われたい！歌ってみた☾【汐鳴みりね / ななしいんく】,https://www.youtube.com/shorts/DBMAcMRypLE,DBMAcMRypLE,0,DBMAcMRypLE-00,月が綺麗ねと言われたい！,つきがきれいねといわれたい,柿崎ユウタ,,かきざきゆうた,,0,この曲を聴く,
20260529-2-001,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,1,qh_2g6lQipk-01,ビビデバ,,星街すいせい,,ほしまちすいせい,,0:07:27,この曲を聴く,
20260529-2-002,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,2,qh_2g6lQipk-02,クスシキ,,Mrs. GREEN APPLE,,,,0:15:44,この曲を聴く,
20260529-2-003,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,3,qh_2g6lQipk-03,残響散歌,ざんきょうさんか,Aimer,,,,0:25:25,この曲を聴く,
20260529-2-004,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,4,qh_2g6lQipk-04,ヒッチコック,,ヨルシカ,,,,0:33:58,この曲を聴く,
20260529-2-005,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,5,qh_2g6lQipk-05,恋愛裁判,れんあいさいばん,40mP feat. 初音ミク,40mP / 初音ミク,40mP / はつねみく,,0:41:40,この曲を聴く,前回音ズレありリベンジ
20260529-2-006,2026/05/29,Live Stream,歌枠,,,,【歌枠】かっこいい歌聴かせるぜ【汐鳴みりね / ななしいんく】,https://www.youtube.com/watch?v=qh_2g6lQipk,qh_2g6lQipk,6,qh_2g6lQipk-06,砂の惑星,すなのわくせい,ハチ feat. 初音ミク,ハチ / 初音ミク,ハチ / はつねみく,,0:57:58,この曲を聴く,
